"time","J1_w","J2_w","J3_w","J4_w"
0.195,8.075273385406291,1.930989153177256,6.661338147750939e-16,1.86517468137026e-17
0.198,8.041476553560381,1.960092951071959,6.661338147750939e-16,1.86517468137026e-17
0.201,8.010516684156105,1.989169104890353,-8.881784197001252e-16,1.332267629550185e-17
0.204,7.982410910422869,2.018217201395935,0,1.332267629550185e-17
0.207,7.957151281074781,2.047236827750951,-4.440892098500626e-16,1.86517468137026e-17
0.21,7.93470483454535,2.076227571522279,-4.440892098500626e-16,1.86517468137026e-17
0.213,7.915013895211601,2.105189020687278,4.440892098500626e-16,1.598721155460223e-17
0.216,7.897996588978273,2.134120763639647,-4.440892098500626e-16,1.86517468137026e-17
0.219,7.883547573645691,2.16302238919528,-4.440892098500626e-16,1.86517468137026e-17
0.222,7.871538977578432,2.191893486598105,4.440892098500626e-16,1.598721155460223e-17
0.225,7.861821538343078,2.220733645525919,0,1.598721155460223e-17
0.228,7.854225931208366,2.249542456096227,0,1.598721155460223e-17
0.231,7.848564275715804,2.278319508872062,-4.440892098500626e-16,1.598721155460223e-17
0.234,7.844631806948296,2.307064394867808,4.440892098500626e-16,1.598721155460223e-17
0.237,7.842208696662414,2.335776705555005,-4.440892098500626e-16,1.598721155460223e-17
0.24,7.841062008119775,2.364456032868165,0,1.598721155460223e-17
0.243,7.84094776726623,2.393101969210564,0,1.598721155460223e-17
0.246,7.841613131874917,2.42171410746004,0,1.598721155460223e-17
0.249,7.842798639399617,2.450292040974774,0,1.598721155460223e-17
0.252,7.844240513586289,2.478835363599075,4.440892098500626e-16,1.598721155460223e-17
0.255,7.845673009369066,2.507343669669145,0,1.598721155460223e-17
0.258,7.846830775237211,2.535816554018854,0,1.598721155460223e-17
0.261,7.847451212104434,2.564253611985489,0,1.598721155460223e-17
0.264,7.847276807743038,2.592654439415512,0,1.598721155460223e-17
0.267,7.846057426062232,2.621018632670299,0,1.598721155460223e-17
0.27,7.843552530910769,2.649345788631879,0,1.598721155460223e-17
0.273,7.839533324665231,2.677635504708665,-4.440892098500626e-16,1.598721155460223e-17
0.276,7.833784782621639,2.705887378841171,0,1.598721155460223e-17
0.279,7.82610756513294,2.73410100950773,-4.440892098500626e-16,1.86517468137026e-17
0.282,7.81631979052006,2.762275995730201,4.440892098500626e-16,1.598721155460223e-17
0.285,7.804258653019969,2.790411937079662,0,1.598721155460223e-17
0.288,7.789781871409709,2.818508433682108,0,1.332267629550185e-17
0.291,7.772768955448228,2.84656508622413,4.440892098500626e-16,1.332267629550185e-17
0.294,7.753122278894942,2.874581495958592,0,1.332267629550185e-17
0.297,7.730767949580807,2.902557264710299,0,1.86517468137026e-17
0.3,7.705656468809011,2.930491994881651,0,1.86517468137026e-17
0.303,7.677763174232362,2.958385289458298,-4.440892098500626e-16,1.86517468137026e-17
0.306,7.647088462276322,2.986236752014785,4.440892098500626e-16,1.86517468137026e-17
0.309,7.613657788133359,3.014045986720175,0,2.398081733190336e-17
0.312,7.577521443328667,3.041812598343691,4.440892098500626e-16,2.930988785010412e-17
0.315,7.538754112831499,3.069536192260318,0,2.930988785010412e-17
0.318,7.497454215643209,3.097216374456422,0,3.463895836830487e-17
0.321,7.453743034714919,3.124852751535342,0,3.463895836830487e-17
0.324,7.407763643917685,3.152444930722988,0,3.996802888650563e-17
0.327,7.359679641589395,3.179992519873416,-4.440892098500626e-16,3.996802888650563e-17
0.33,7.309673701899488,3.20749512747441,4.440892098500626e-16,5.062616992290714e-17
0.333,7.257945956889612,3.234952362653038,4.440892098500626e-16,5.062616992290714e-17
0.336,7.204712223551321,3.262363835181211,0,5.062616992290714e-17
0.339,7.150202091677323,3.289729155481228,0,5.062616992290714e-17
0.342,7.094656889458609,3.317047934631317,4.440892098500626e-16,6.128431095930865e-17
0.345,7.038327544884913,3.344319784371153,0,6.128431095930865e-17
0.348,6.981472361930825,3.371544317107386,-4.440892098500626e-16,6.128431095930865e-17
0.351,6.924354731266218,3.398721145919145,0,5.062616992290713e-17
0.354,6.867240795810857,3.425849884563536,0,3.996802888650582e-17
0.357,6.810397091853826,3.452930147481132,0,2.930988785010431e-17
0.36,6.75408818667534,3.479961549801458,4.440892098500626e-16,2.930988785010431e-17
0.363,6.698574333639494,3.506943707348449,4.440892098500626e-16,2.930988785010431e-17
0.366,6.6441091655715,3.533876236645922,0,1.865174681370279e-17
0.369,6.590937446893085,3.560758754923023,4.440892098500626e-16,1.865174681370279e-17
0.372,6.53929290446821,3.587590880119659,-4.440892098500626e-16,1.865174681370279e-17
0.375,6.489396156412655,3.614372230891941,0,1.865174681370279e-17
0.378,6.441452757251408,3.641102426617592,4.440892098500626e-16,2.398081733190355e-17
0.381,6.395651376775175,3.667781087401364,0,2.930988785010431e-17
0.384,6.352162128760542,3.694407834080433,0,2.930988785010431e-17
0.387,6.311135064388131,3.720982288229792,0,2.930988785010431e-17
0.39,6.272698843731257,3.747504072167624,0,2.930988785010431e-17
0.393,6.23695959710696,3.773972808960673,4.440892098500626e-16,2.398081733190355e-17
0.396,6.203999986396136,3.800388122429599,0,2.398081733190355e-17
0.399,6.173878474664477,3.826749637154331,4.440892098500626e-16,2.398081733190355e-17
0.4000000059604645,6.164795199158457,3.83551880319734,-4.440892098500626e-16,2.57571847592156e-17
0.4000000059604645,6.164795199158457,3.83551880319734,-4.440892098500626e-16,2.57571847592156e-17
0.402,6.147269121606755,3.833044944098747,0.01999994039535569,2.57571847592156e-17
0.402,6.147269121606755,3.833044944098747,0.01999994039535569,2.57571847592156e-17
0.405,6.122900043152799,3.829297738138582,0.04999994039535549,2.57571847592156e-17
0.408,6.101395203459709,3.82549561178288,0.07999994039535574,3.108625527741636e-17
0.411,6.082713319155667,3.821638192701865,0.1099999403953551,3.641532579561712e-17
0.414,6.066788540113293,3.8177251093516,0.1399999403953558,4.174439631381787e-17
0.417,6.053531037232594,3.813755990979251,0.1699999403953552,4.174439631381787e-17
0.42,6.042827803055983,3.809730467628373,0.1999999403953554,3.641532579561712e-17
0.423,6.034543658108973,3.805648170144159,0.2299999403953557,3.641532579561712e-17
0.426,6.028522454034155,3.801508730178684,0.2599999403953546,3.641532579561712e-17
0.429,6.024588462839331,3.797311780196151,0.2899999403953548,4.440893157291825e-17
0.432,6.02254793992865,3.793056953478102,0.3199999403953546,4.973800209111901e-17
0.435,6.022190847043175,3.788743884128639,0.3499999403953558,4.973800209111901e-17
0.438,6.023292719817848,3.784372207079618,0.3799999403953556,4.973800209111901e-17
0.441,6.025616663378271,3.779941558095842,0.4099999403953554,4.973800209111901e-17
0.444,6.028915458264186,3.775451573780234,0.4399999403953552,4.973800209111901e-17
0.447,6.032933757987275,3.770901891579007,0.4699999403953554,5.506707260931976e-17
0.45,6.037410358717565,3.766292149786809,0.4999999403953557,6.039614312752052e-17
0.453,6.042080520952505,3.761621987551869,0.529999940395355,6.039614312752052e-17
0.456,6.046678322561341,3.756891044881126,0.5599999403953562,6.572521364572127e-17
0.459,6.050939022318985,3.75209896264534,0.5899999403953551,6.039614312752052e-17
0.462,6.054601412950429,3.747245382584205,0.6199999403953553,6.039614312752052e-17
0.465,6.057410142799853,3.74232994731143,0.649999940395356,6.039614312752052e-17
0.468,6.059117985517108,3.737352300319825,0.6799999403953558,6.039614312752052e-17
0.471,6.059488037615626,3.732312085986367,0.7099999403953552,5.506707260931976e-17
0.474,6.05829582439601,3.727208949577254,0.7399999403953554,6.30606783866209e-17
0.477,6.055331295542963,3.722042537252944,0.7699999403953557,6.30606783866209e-17
0.48,6.05040069268243,3.716812496073187,0.7999999403953555,6.30606783866209e-17
0.483,6.043328272322352,3.711518474002041,0.8299999403953557,5.773160786842014e-17
0.486,6.033957868884033,3.70616011991287,0.8599999403953551,5.240253735021938e-17
0.489,6.022154283950512,3.700737083593343,0.8899999403953553,5.240253735021938e-17
0.492,6.007804489400809,3.695249015750405,0.9199999403953552,5.240253735021938e-17
0.495,5.990818633750917,3.689695568015242,0.949999940395355,4.707346683201863e-17
0.498,5.971130842769131,3.684076392948236,0.9799999403953557,5.240253735021938e-17
0.501,5.948699807259351,3.678391144043894,1.009999940395355,5.773160786842014e-17
0.504,5.923509152795116,3.672639475735784,1.039999940395355,5.240253735021938e-17
0.507,5.895567588122532,3.666821043401439,1.069999940395355,5.773160786842014e-17
