"time","J1_w","J2_w","J3_w","J4_w"
0.195,8.072135485414288,1.930542420449924,2.220446049250313e-16,2.659706215939548e-18
0.198,8.039818886434436,1.959632428690012,4.440892098500626e-16,-1.385911557519781e-19
0.201,8.0103188452222,1.98869458687148,-4.440892098500626e-16,-4.150341249501641e-18
0.204,7.983732417721586,2.017728480138287,0,-7.842380772690061e-18
0.207,7.960028394702963,2.046733696229412,0,-1.117544886695862e-17
0.21,7.939125534234425,2.075709823761333,0,-1.436021342213702e-17
0.213,7.920939324233089,2.10465645119176,0,-1.710227936042261e-17
0.216,7.905352383678002,2.133573167436412,-4.440892098500626e-16,-1.903370510562825e-17
0.219,7.892213054555155,2.162459561875532,0,-1.970648934917964e-17
0.222,7.881553175330476,2.191315222736038,0,-2.101217740632042e-17
0.225,7.873128517363508,2.220139740493449,-4.440892098500626e-16,-2.21040259585604e-17
0.228,7.866719557033027,2.248932705638931,-4.440892098500626e-16,-2.273532121455371e-17
0.231,7.862097970916275,2.277693708923679,0,-2.289758668432744e-17
0.234,7.859006422324921,2.306422341504799,-4.440892098500626e-16,-2.260591293624453e-17
0.237,7.857342866201144,2.335118195168653,4.440892098500626e-16,-2.195734293160073e-17
0.24,7.856918856477039,2.363780862039651,0,-2.106185107189298e-17
0.243,7.857394633241205,2.392409934502584,0,-2.002619311262428e-17
0.246,7.858496602877155,2.421005005466029,4.440892098500626e-16,-1.902221346714613e-17
0.249,7.859937652931482,2.44956566826683,-4.440892098500626e-16,-1.826627705807239e-17
0.252,7.861441200416203,2.47809151684253,0,-1.78837214514687e-17
0.255,7.862881838906647,2.506582146759849,0,-1.707616933476909e-17
0.258,7.863896808459256,2.535037152358022,0,-1.64527707396348e-17
0.261,7.864212354416861,2.563456129140751,4.440892098500626e-16,-1.608715245598692e-17
0.264,7.863555972351094,2.591838673127784,4.440892098500626e-16,-1.605033809978415e-17
0.267,7.861683274201422,2.620184380947505,4.440892098500626e-16,-1.633657187929273e-17
0.27,7.858448039792,2.648492850074626,-4.440892098500626e-16,-1.666470811126809e-17
0.273,7.853575363590896,2.67676367807016,0,-1.713510143503938e-17
