"time","J1_w","J2_w","J3_w","J4_w"
0.162,8.590845242418858,1.608832656843662,-6.661338147750939e-16,-3.339722737213005e-17
0.165,8.534100723784068,1.638201659922888,-6.661338147750939e-16,-3.353810419958969e-17
0.168,8.478705283603567,1.667547378525446,0,-3.38630352911523e-17
0.171,8.424841637713712,1.69686939882919,-6.661338147750939e-16,-3.455371640105713e-17
0.174,8.372730247213006,1.726167303587324,2.220446049250313e-16,-3.55121844583155e-17
0.177,8.322589568164924,1.755440674867311,4.440892098500626e-16,-3.653511286423375e-17
0.18,8.274603631944377,1.78468909625688,-4.440892098500626e-16,-3.745334237912672e-17
0.183,8.228935998239612,1.813912151698877,0,-3.805149707087957e-17
0.186,8.18573740616927,1.843109426058636,6.661338147750939e-16,-3.824785827143149e-17
0.189,8.145150385630803,1.87228050552097,-2.220446049250313e-16,-3.821790619928911e-17
0.192,8.107259588017781,1.901424974944557,-4.440892098500626e-16,-3.75119446857054e-17
0.195,8.072135485414286,1.930542420449923,0,-3.590301029076883e-17
0.198,8.039818886434436,1.959632428690011,0,-3.313800830855489e-17
0.201,8.010318845222201,1.98869458687148,-2.220446049250313e-16,-2.893704791746433e-17
0.204,7.983732417721584,2.017728480138287,0,-2.499270335581517e-17
0.207,7.960028394702963,2.046733696229412,0,-2.145399659759729e-17
0.21,7.939125534234424,2.075709823761333,0,-1.824411247695844e-17
0.213,7.920939324233089,2.10465645119176,4.440892098500626e-16,-1.586158593396148e-17
0.216,7.905352383678002,2.133573167436412,-4.440892098500626e-16,-1.49281412979346e-17
0.219,7.892213054555155,2.162459561875532,-4.440892098500626e-16,-1.619923687950904e-17
0.222,7.881553175330475,2.191315222736038,0,-1.616065633538367e-17
0.225,7.873128517363506,2.220139740493449,0,-1.62655474128548e-17
0.228,7.866719557033027,2.248932705638931,0,-1.685955781365267e-17
0.231,7.862097970916276,2.277693708923679,0,-1.783775552873473e-17
0.234,7.859006422324922,2.306422341504799,0,-1.903388324560251e-17
0.237,7.857342866201142,2.335118195168651,-4.440892098500626e-16,-2.063293854124644e-17
0.24,7.856918856477037,2.36378086203965,0,-2.261689249443322e-17
0.243,7.857394633241205,2.392409934502584,4.440892098500626e-16,-2.461163504008942e-17
0.246,7.858496602877154,2.421005005466028,0,-2.637485106067405e-17
0.249,7.85993765293148,2.44956566826683,0,-2.760943792278544e-17
0.252,7.861441200416202,2.47809151684253,0,-2.815759820322448e-17
0.255,7.862881838906646,2.506582146759849,0,-2.918773839490191e-17
0.258,7.863896808459254,2.535037152358022,-4.440892098500626e-16,-2.987557262279443e-17
0.261,7.864212354416859,2.563456129140751,4.440892098500626e-16,-3.017230435343272e-17
0.264,7.863555972351093,2.591838673127784,0,-3.004674492783446e-17
0.267,7.86168327420142,2.620184380947504,-4.440892098500626e-16,-2.952981185547581e-17
0.27,7.858448039791996,2.648492850074626,-4.440892098500626e-16,-2.882987202162915e-17
0.273,7.853575363590895,2.67676367807016,0,-2.796101744516845e-17
0.276,7.84686063485608,2.704996463252377,4.440892098500626e-16,-2.706991381530251e-17
0.279,7.838117361858399,2.733190804523769,0,-2.63506318015532e-17
0.282,7.827177989543262,2.761346301340246,4.440892098500626e-16,-2.597136863687758e-17
0.285,7.813865497604967,2.789462552878116,4.440892098500626e-16,-2.447949539112481e-17
0.288,7.798067646615895,2.817539160019233,-4.440892098500626e-16,-2.255222758278685e-17
0.291,7.779682536091593,2.845575723803062,0,-2.004558166842826e-17
0.294,7.758635795236366,2.873571845845384,0,-1.677376100070959e-17
0.297,7.734882717599438,2.901527128343657,4.440892098500626e-16,-1.25044627975536e-17
0.3,7.708304402404187,2.929441173707614,0,-8.764516304880472e-18
0.303,7.678917012555695,2.95731358529692,0,-5.297590986625715e-18
0.306,7.646750884300403,2.985143966991563,-4.440892098500626e-16,-2.160730007128229e-18
0.309,7.61185538970705,3.012931923206846,0,3.269331505883981e-19
0.312,7.574312045614294,3.040677058937539,0,1.776305007521128e-18
0.315,7.5341943516284,3.068378979881849,0,2.347578284550618e-18
0.318,7.491530453138989,3.096037292557183,0,3.327100096636645e-18
0.321,7.446526784016974,3.123651603659409,0,3.78929267869949e-18
0.324,7.399358176400803,3.151221520678817,-4.440892098500626e-16,3.761986794516052e-18
0.327,7.35022993794626,3.178746651727715,4.440892098500626e-16,3.311980337123803e-18
0.33,7.299311746387296,3.206226605631469,4.440892098500626e-16,2.495304402965969e-18
0.333,7.246676631424851,3.233660992013031,-4.440892098500626e-16,1.311635934001439e-18
0.336,7.192647199749889,3.26104942085508,4.440892098500626e-16,-9.35481303291491e-21
0.339,7.137472100489402,3.28839150292127,0,-1.267562942253945e-18
0.342,7.08141829566536,3.315686849644131,0,-2.213094170072955e-18
0.345,7.024758263144751,3.342935073119907,0,-2.640884181409043e-18
0.348,6.967631823865027,3.370135785981252,-4.440892098500626e-16,-3.485788050793093e-18
0.351,6.91038759006351,3.397288601737183,0,-4.09040199689338e-18
0.354,6.853307395184335,3.424393134511914,0,-4.396552482132478e-18
0.357,6.796678791336561,3.451448999122802,-4.440892098500626e-16,-4.359284591278662e-18
0.36,6.74074488217088,3.478455811028685,-4.440892098500626e-16,-4.028021940770673e-18
0.363,6.685695695176021,3.505413186327267,4.440892098500626e-16,-3.561105782722446e-18
0.366,6.631829603372193,3.532320741953269,0,-2.967609360719482e-18
0.369,6.579387664828569,3.559178095490424,0,-2.373725746245699e-18
0.372,6.528599341669041,3.58598486523302,4.440892098500626e-16,-1.950145841933195e-18
0.375,6.479674201898875,3.612740670198657,0,-1.310555961482711e-18
0.378,6.432802429918921,3.639445130129896,0,2.201218987485634e-19
0.381,6.3881653938653,3.666097865483204,-4.440892098500626e-16,2.344509800531667e-18
0.384,6.345918620936381,3.692698497452733,0,5.255903997346385e-18
0.387,6.306194081569164,3.719246647969713,0,9.194908717505408e-18
0.39,6.269128220242537,3.745741939745337,4.440892098500626e-16,1.336619647964529e-17
0.393,6.234827954325757,3.772183996236333,0,1.708405005929709e-17
0.396,6.203345772615546,3.798572441621881,0,2.059095652965499e-17
0.399,6.174720053207267,3.824906900861805,4.440892098500626e-16,2.353289847112525e-17
0.402,6.149569155711452,3.831174855002545,0.01999999999999957,2.431435386398775e-17
0.405,6.126775639491649,3.827397508048486,0.05000000000000071,2.557017440707106e-17
0.408,6.106664674323028,3.823568073325708,0.0800000000000014,2.549965340420608e-17
0.411,6.089351308406642,3.819682971385389,0.1100000000000012,2.81939050468587e-17
0.414,6.07477475265611,3.815741629244807,0.1400000000000015,2.763734127627227e-17
0.417,6.062865879330585,3.811742936241566,0.1700000000000013,3.570967567246913e-17
0.42,6.053430573950264,3.807687710954583,0.2000000000000015,4.372866354326048e-17
0.423,6.046292152542417,3.803576501200761,0.2300000000000009,4.529292266525407e-17
0.426,6.041313381692367,3.799408278535682,0.2600000000000011,4.534576330513458e-17
0.429,6.038338928806006,3.795182308867393,0.2900000000000005,4.644507114670844e-17
0.432,6.037125598988946,3.790898525406715,0.3200000000000007,4.769211185750669e-17
0.435,6.037502394555435,3.786556285158948,0.350000000000001,5.113432896810403e-17
0.438,6.039199360889437,3.782155283217304,0.3800000000000008,5.336010692187673e-17
0.441,6.042015159812117,3.777695051125806,0.410000000000001,5.497408534592851e-17
0.444,6.045689914212417,3.773175247092131,0.4400000000000004,5.649493273869208e-17
0.447,6.049958050635651,3.768595541089848,0.4700000000000006,5.857824170970977e-17
0.45,6.054554672615342,3.763955601694196,0.5000000000000009,6.18633319722301e-17
0.453,6.05923252717799,3.75925501794573,0.5300000000000011,6.343512125513159e-17
0.456,6.063714147844031,3.75449346511643,0.5600000000000009,6.283548295169218e-17
0.459,6.067718947457246,3.74967061468223,0.5900000000000016,5.893730683230295e-17
0.462,6.071008454503861,3.744786099791798,0.6200000000000006,5.408135791046435e-17
0.465,6.073316884588168,3.739839578941563,0.6500000000000017,4.85897776131976e-17
0.468,6.074393188399624,3.734830699696533,0.6800000000000006,4.427345519059855e-17
0.471,6.074009569169065,3.729759104808532,0.7100000000000013,4.019510862088538e-17
0.474,6.07195252192993,3.724624429074354,0.7400000000000011,3.591630516170683e-17
0.477,6.068020799114668,3.719426296563954,0.7700000000000018,3.299087744079681e-17
0.48,6.062035333296097,3.714164328221825,0.8000000000000016,3.198170260955716e-17
0.483,6.053811429366619,3.708838230446257,0.830000000000001,3.251431034547505e-17
0.486,6.043215554697062,3.70344761630538,0.8600000000000017,3.488850488687039e-17
